structure_id,set_id,group,theme,terrain_adaptation,structure_type,source
explorify:guide_post_cold,explorify:guide_posts,deco,deco,none,minecraft:jigsaw,Explorify v1.6.5.mod.jar
explorify:guide_post_warm,explorify:guide_posts,deco,deco,none,minecraft:jigsaw,Explorify v1.6.5.mod.jar
explorify:ruins,explorify:ruins,deco,deco,beard_thin,minecraft:jigsaw,Explorify v1.6.5.mod.jar
mes:astral_meteorite,mes:astral_meteorite,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsEndStructures-1.21-2.0.3.jar
mes:enderbloom_grove,mes:enderbloom_grove,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsEndStructures-1.21-2.0.3.jar
mes:enderpin_spikes,mes:enderpin_spikes,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsEndStructures-1.21-2.0.3.jar
mes:enderskog,mes:enderskog,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsEndStructures-1.21-2.0.3.jar
mes:endscraps,mes:endscraps,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsEndStructures-1.21-2.0.3.jar
mes:mythic_garden,mes:mythic_garden,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsEndStructures-1.21-2.0.3.jar
mes:placid_prairie,mes:placid_prairie,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsEndStructures-1.21-2.0.3.jar
mes:ruined_pillar,mes:ruined_pillar,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsEndStructures-1.21-2.0.3.jar
mns:circle_blackstone,mns:circle_blackstone,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:circle_nether_brick,mns:circle_nether_brick,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:crimson_lava_well,mns:crimson_lava_well,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:giant_skull,mns:giant_skull,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:large_blackstone_pillars,mns:large_blackstone_pillars,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:large_blackstone_walls,mns:large_blackstone_walls,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:large_nether_brick,mns:large_nether_brick,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:lava_pool,mns:lava_pool,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:leafy_rubble,mns:leafy_rubble,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:medium_blackstone,mns:medium_blackstone,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:medium_crimson_fungus,mns:medium_crimson_fungus,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
