# stackVersion=0.0.0-local kind=tb-probe generatedAt=2026-08-06T18:34:10.049863636Z
# dimension=adventure:the_dustbowl seed=9193281158218823422 quartY=16 radius=768 step=64
x,z,uniqueness,biome
-768,-768,1,minecraft:deep_lukewarm_ocean
-768,-704,1,minecraft:deep_lukewarm_ocean
-768,-640,2,minecraft:deep_lukewarm_ocean
-768,-576,2,minecraft:deep_lukewarm_ocean
-768,-512,2,minecraft:deep_lukewarm_ocean
-768,-448,2,minecraft:lukewarm_ocean
-768,-384,2,minecraft:lukewarm_ocean
-768,-320,3,minecraft:lukewarm_ocean
-768,-256,3,minecraft:lukewarm_ocean
-768,-192,3,minecraft:lukewarm_ocean
-768,-128,3,minecraft:lukewarm_ocean
-768,-64,3,minecraft:lukewarm_ocean
-768,0,3,minecraft:lukewarm_ocean
-768,64,3,minecraft:lukewarm_ocean
-768,128,3,minecraft:lukewarm_ocean
-768,192,4,minecraft:lukewarm_ocean
-768,256,4,minecraft:lukewarm_ocean
-768,320,0,terralith:hot_shrubland
-768,384,0,terralith:hot_shrubland
-768,448,0,minecraft:badlands
-768,512,0,minecraft:badlands
-768,576,0,terralith:hot_shrubland
-768,640,0,terralith:hot_shrubland
-768,704,0,terralith:hot_shrubland
-768,768,0,terralith:hot_shrubland
-704,-768,1,minecraft:deep_lukewarm_ocean
-704,-704,2,minecraft:deep_lukewarm_ocean
-704,-640,2,minecraft:deep_lukewarm_ocean
-704,-576,2,minecraft:deep_lukewarm_ocean
-704,-512,2,minecraft:deep_lukewarm_ocean
-704,-448,2,minecraft:lukewarm_ocean
-704,-384,2,minecraft:lukewarm_ocean
-704,-320,2,minecraft:lukewarm_ocean
-704,-256,3,minecraft:lukewarm_ocean
-704,-192,3,minecraft:lukewarm_ocean
-704,-128,3,minecraft:lukewarm_ocean
-704,-64,3,minecraft:lukewarm_ocean
-704,0,3,minecraft:lukewarm_ocean
-704,64,3,minecraft:lukewarm_ocean
-704,128,3,minecraft:lukewarm_ocean
-704,192,4,minecraft:lukewarm_ocean
-704,256,4,minecraft:lukewarm_ocean
-704,320,4,minecraft:lukewarm_ocean
-704,384,4,minecraft:lukewarm_ocean
-704,448,0,terralith:steppe
-704,512,0,terralith:hot_shrubland
-704,576,0,terralith:hot_shrubland
-704,640,5,minecraft:deep_lukewarm_ocean
-704,704,5,minecraft:deep_lukewarm_ocean
-704,768,5,minecraft:deep_lukewarm_ocean
-640,-768,2,minecraft:deep_lukewarm_ocean
-640,-704,2,minecraft:deep_lukewarm_ocean
-640,-640,2,minecraft:deep_lukewarm_ocean
-640,-576,2,minecraft:deep_lukewarm_ocean
-640,-512,2,minecraft:deep_lukewarm_ocean
-640,-448,2,minecraft:deep_lukewarm_ocean
-640,-384,2,minecraft:deep_lukewarm_ocean
-640,-320,2,minecraft:deep_lukewarm_ocean
-640,-256,3,minecraft:lukewarm_ocean
-640,-192,3,minecraft:lukewarm_ocean
-640,-128,3,minecraft:lukewarm_ocean
-640,-64,3,minecraft:lukewarm_ocean
-640,0,4,minecraft:lukewarm_ocean
-640,64,4,minecraft:deep_lukewarm_ocean
-640,128,4,minecraft:lukewarm_ocean
-640,192,4,minecraft:lukewarm_ocean
-640,256,4,minecraft:lukewarm_ocean
-640,320,4,minecraft:deep_lukewarm_ocean
-640,384,4,minecraft:deep_lukewarm_ocean
-640,448,4,minecraft:deep_lukewarm_ocean
-640,512,0,terralith:hot_shrubland
-640,576,0,terralith:hot_shrubland
-640,640,5,minecraft:deep_lukewarm_ocean
-640,704,5,minecraft:deep_lukewarm_ocean
-640,768,5,minecraft:deep_lukewarm_ocean
-576,-768,2,minecraft:deep_lukewarm_ocean
-576,-704,2,minecraft:deep_lukewarm_ocean
-576,-640,2,minecraft:deep_lukewarm_ocean
-576,-576,2,minecraft:deep_lukewarm_ocean
-576,-512,2,minecraft:deep_lukewarm_ocean
-576,-448,2,minecraft:deep_lukewarm_ocean
-576,-384,2,minecraft:deep_lukewarm_ocean
-576,-320,2,minecraft:lukewarm_ocean
-576,-256,3,minecraft:lukewarm_ocean
-576,-192,2,minecraft:lukewarm_ocean
-576,-128,2,minecraft:lukewarm_ocean
-576,-64,4,minecraft:lukewarm_ocean
-576,0,4,minecraft:deep_lukewarm_ocean
-576,64,4,minecraft:deep_lukewarm_ocean
-576,128,4,minecraft:deep_lukewarm_ocean
-576,192,4,minecraft:deep_lukewarm_ocean
-576,256,4,minecraft:deep_lukewarm_ocean
-576,320,4,minecraft:deep_lukewarm_ocean
-576,384,5,minecraft:deep_lukewarm_ocean
-576,448,5,minecraft:deep_lukewarm_ocean
-576,512,0,terralith:hot_shrubland
-576,576,5,minecraft:deep_lukewarm_ocean
-576,640,5,minecraft:deep_lukewarm_ocean
-576,704,5,minecraft:deep_lukewarm_ocean
-576,768,5,minecraft:deep_lukewarm_ocean
-512,-768,2,minecraft:deep_lukewarm_ocean
-512,-704,2,minecraft:deep_lukewarm_ocean
-512,-640,2,minecraft:deep_lukewarm_ocean
-512,-576,2,minecraft:deep_lukewarm_ocean
-512,-512,2,minecraft:deep_lukewarm_ocean
-512,-448,2,minecraft:deep_lukewarm_ocean
-512,-384,2,minecraft:deep_lukewarm_ocean
-512,-320,2,minecraft:deep_lukewarm_ocean
-512,-256,2,minecraft:lukewarm_ocean
-512,-192,2,minecraft:lukewarm_ocean
-512,-128,2,minecraft:lukewarm_ocean
-512,-64,2,minecraft:deep_lukewarm_ocean
-512,0,4,minecraft:deep_lukewarm_ocean
-512,64,4,minecraft:deep_lukewarm_ocean
-512,128,4,minecraft:deep_lukewarm_ocean
-512,192,4,minecraft:deep_lukewarm_ocean
-512,256,4,minecraft:deep_lukewarm_ocean
-512,320,4,minecraft:deep_lukewarm_ocean
-512,384,5,minecraft:deep_lukewarm_ocean
-512,448,5,minecraft:deep_lukewarm_ocean
-512,512,5,minecraft:deep_lukewarm_ocean
-512,576,5,minecraft:deep_lukewarm_ocean
-512,640,5,minecraft:deep_lukewarm_ocean
-512,704,5,minecraft:deep_lukewarm_ocean
-512,768,5,minecraft:deep_lukewarm_ocean
-448,-768,2,minecraft:deep_lukewarm_ocean
-448,-704,2,minecraft:deep_lukewarm_ocean
-448,-640,2,minecraft:deep_lukewarm_ocean
-448,-576,2,minecraft:deep_lukewarm_ocean
-448,-512,2,minecraft:deep_lukewarm_ocean
-448,-448,2,minecraft:deep_lukewarm_ocean
-448,-384,2,minecraft:deep_lukewarm_ocean
-448,-320,2,minecraft:deep_lukewarm_ocean
-448,-256,2,minecraft:deep_lukewarm_ocean
-448,-192,2,minecraft:lukewarm_ocean
-448,-128,4,minecraft:lukewarm_ocean
-448,-64,4,minecraft:deep_lukewarm_ocean
-448,0,4,minecraft:deep_lukewarm_ocean
-448,64,4,minecraft:deep_lukewarm_ocean
-448,128,4,minecraft:deep_lukewarm_ocean
-448,192,4,minecraft:deep_lukewarm_ocean
-448,256,4,minecraft:deep_lukewarm_ocean
-448,320,4,minecraft:deep_lukewarm_ocean
-448,384,4,minecraft:deep_lukewarm_ocean
-448,448,5,minecraft:deep_lukewarm_ocean
-448,512,5,minecraft:deep_lukewarm_ocean
-448,576,5,minecraft:deep_lukewarm_ocean
-448,640,5,minecraft:deep_lukewarm_ocean
-448,704,5,minecraft:deep_lukewarm_ocean
-448,768,0,terralith:hot_shrubland
-384,-768,2,minecraft:deep_lukewarm_ocean
-384,-704,2,minecraft:deep_lukewarm_ocean
-384,-640,2,minecraft:deep_lukewarm_ocean
-384,-576,2,minecraft:deep_lukewarm_ocean
-384,-512,2,minecraft:deep_lukewarm_ocean
-384,-448,2,minecraft:deep_lukewarm_ocean
-384,-384,2,minecraft:deep_lukewarm_ocean
-384,-320,4,minecraft:deep_lukewarm_ocean
-384,-256,4,minecraft:deep_lukewarm_ocean
-384,-192,4,minecraft:deep_lukewarm_ocean
-384,-128,4,minecraft:lukewarm_ocean
-384,-64,4,minecraft:deep_lukewarm_ocean
-384,0,4,minecraft:deep_lukewarm_ocean
-384,64,4,minecraft:deep_lukewarm_ocean
-384,128,4,minecraft:deep_lukewarm_ocean
-384,192,4,minecraft:deep_lukewarm_ocean
-384,256,4,minecraft:deep_lukewarm_ocean
-384,320,4,minecraft:deep_lukewarm_ocean
-384,384,4,minecraft:deep_lukewarm_ocean
-384,448,4,minecraft:deep_lukewarm_ocean
-384,512,5,minecraft:deep_lukewarm_ocean
-384,576,5,minecraft:deep_lukewarm_ocean
-384,640,5,minecraft:deep_lukewarm_ocean
-384,704,0,terralith:hot_shrubland
-384,768,0,terralith:hot_shrubland
-320,-768,2,minecraft:deep_lukewarm_ocean
-320,-704,2,minecraft:deep_lukewarm_ocean
-320,-640,2,minecraft:deep_lukewarm_ocean
-320,-576,2,minecraft:deep_lukewarm_ocean
-320,-512,0,minecraft:savanna
-320,-448,2,minecraft:deep_lukewarm_ocean
-320,-384,0,terralith:hot_shrubland
-320,-320,4,minecraft:deep_lukewarm_ocean
-320,-256,4,minecraft:deep_lukewarm_ocean
-320,-192,4,minecraft:lukewarm_ocean
-320,-128,4,minecraft:lukewarm_ocean
-320,-64,4,minecraft:lukewarm_ocean
-320,0,4,minecraft:deep_lukewarm_ocean
-320,64,4,minecraft:deep_lukewarm_ocean
-320,128,4,minecraft:deep_lukewarm_ocean
-320,192,4,minecraft:deep_lukewarm_ocean
-320,256,4,minecraft:deep_lukewarm_ocean
-320,320,4,minecraft:deep_lukewarm_ocean
-320,384,4,minecraft:deep_lukewarm_ocean
-320,448,5,minecraft:deep_lukewarm_ocean
-320,512,5,minecraft:deep_lukewarm_ocean
-320,576,5,minecraft:deep_lukewarm_ocean
-320,640,5,minecraft:deep_lukewarm_ocean
-320,704,0,terralith:hot_shrubland
-320,768,0,terralith:hot_shrubland
-256,-768,2,minecraft:deep_lukewarm_ocean
-256,-704,2,minecraft:deep_lukewarm_ocean
-256,-640,2,minecraft:deep_lukewarm_ocean
-256,-576,2,minecraft:deep_lukewarm_ocean
-256,-512,0,minecraft:desert
-256,-448,0,terralith:hot_shrubland
-256,-384,0,terralith:hot_shrubland
-256,-320,0,terralith:hot_shrubland
-256,-256,4,minecraft:deep_lukewarm_ocean
-256,-192,4,minecraft:lukewarm_ocean
-256,-128,4,minecraft:lukewarm_ocean
-256,-64,4,minecraft:lukewarm_ocean
-256,0,4,minecraft:deep_lukewarm_ocean
-256,64,4,minecraft:deep_lukewarm_ocean
-256,128,4,minecraft:deep_lukewarm_ocean
-256,192,4,minecraft:deep_lukewarm_ocean
-256,256,4,minecraft:deep_lukewarm_ocean
-256,320,5,minecraft:deep_lukewarm_ocean
-256,384,5,minecraft:deep_lukewarm_ocean
-256,448,5,minecraft:deep_lukewarm_ocean
-256,512,5,minecraft:deep_lukewarm_ocean
-256,576,0,minecraft:badlands
-256,640,0,minecraft:badlands
-256,704,0,minecraft:badlands
-256,768,0,minecraft:badlands
