# stackVersion=0.0.0-local kind=tb-probe generatedAt=2026-08-06T20:48:19.900059584Z
# dimension=adventure:the_gilded_pit seed=9210891167564786503 quartY=16 radius=768 step=64
x,z,uniqueness,biome
-768,-768,0,minecraft:crimson_forest
-768,-704,0,minecraft:crimson_forest
-768,-640,0,minecraft:nether_wastes
-768,-576,0,minecraft:nether_wastes
-768,-512,0,minecraft:nether_wastes
-768,-448,0,minecraft:nether_wastes
-768,-384,0,minecraft:nether_wastes
-768,-320,0,minecraft:nether_wastes
-768,-256,0,minecraft:nether_wastes
-768,-192,0,minecraft:nether_wastes
-768,-128,0,minecraft:nether_wastes
-768,-64,0,minecraft:nether_wastes
-768,0,0,minecraft:nether_wastes
-768,64,0,minecraft:nether_wastes
-768,128,0,minecraft:nether_wastes
-768,192,0,minecraft:nether_wastes
-768,256,0,minecraft:nether_wastes
-768,320,0,minecraft:nether_wastes
-768,384,0,minecraft:nether_wastes
-768,448,0,minecraft:nether_wastes
-768,512,0,minecraft:nether_wastes
-768,576,0,minecraft:nether_wastes
-768,640,0,minecraft:nether_wastes
-768,704,0,minecraft:nether_wastes
-768,768,0,minecraft:nether_wastes
-704,-768,0,minecraft:crimson_forest
-704,-704,0,minecraft:crimson_forest
-704,-640,0,minecraft:nether_wastes
-704,-576,0,minecraft:nether_wastes
-704,-512,0,minecraft:nether_wastes
-704,-448,0,minecraft:nether_wastes
-704,-384,0,minecraft:nether_wastes
-704,-320,0,minecraft:nether_wastes
-704,-256,0,minecraft:nether_wastes
-704,-192,0,minecraft:nether_wastes
-704,-128,0,minecraft:nether_wastes
-704,-64,0,minecraft:nether_wastes
-704,0,0,minecraft:nether_wastes
-704,64,0,minecraft:nether_wastes
-704,128,0,minecraft:nether_wastes
-704,192,0,minecraft:nether_wastes
-704,256,0,minecraft:nether_wastes
-704,320,0,minecraft:nether_wastes
-704,384,0,minecraft:nether_wastes
-704,448,0,minecraft:nether_wastes
-704,512,0,minecraft:nether_wastes
-704,576,0,minecraft:nether_wastes
-704,640,0,minecraft:nether_wastes
-704,704,0,minecraft:nether_wastes
-704,768,0,minecraft:nether_wastes
-640,-768,0,minecraft:crimson_forest
-640,-704,0,minecraft:crimson_forest
-640,-640,0,minecraft:nether_wastes
-640,-576,0,minecraft:nether_wastes
-640,-512,0,minecraft:nether_wastes
-640,-448,0,minecraft:nether_wastes
-640,-384,0,minecraft:nether_wastes
-640,-320,0,minecraft:nether_wastes
-640,-256,0,minecraft:nether_wastes
-640,-192,0,minecraft:nether_wastes
-640,-128,0,minecraft:nether_wastes
-640,-64,0,minecraft:nether_wastes
-640,0,0,minecraft:nether_wastes
-640,64,0,minecraft:nether_wastes
-640,128,0,minecraft:nether_wastes
-640,192,0,minecraft:nether_wastes
-640,256,0,minecraft:nether_wastes
-640,320,0,minecraft:nether_wastes
-640,384,0,minecraft:nether_wastes
-640,448,0,minecraft:nether_wastes
-640,512,0,minecraft:nether_wastes
-640,576,0,minecraft:nether_wastes
-640,640,0,minecraft:nether_wastes
-640,704,0,minecraft:nether_wastes
-640,768,0,minecraft:nether_wastes
-576,-768,0,minecraft:nether_wastes
-576,-704,0,minecraft:nether_wastes
-576,-640,0,minecraft:nether_wastes
-576,-576,0,minecraft:nether_wastes
-576,-512,0,minecraft:nether_wastes
-576,-448,0,minecraft:nether_wastes
-576,-384,0,minecraft:nether_wastes
-576,-320,0,minecraft:nether_wastes
-576,-256,0,minecraft:nether_wastes
-576,-192,0,minecraft:nether_wastes
-576,-128,0,minecraft:nether_wastes
-576,-64,0,minecraft:nether_wastes
-576,0,0,minecraft:nether_wastes
-576,64,0,minecraft:nether_wastes
-576,128,0,minecraft:nether_wastes
-576,192,0,minecraft:nether_wastes
-576,256,0,minecraft:nether_wastes
-576,320,0,minecraft:nether_wastes
-576,384,0,minecraft:nether_wastes
-576,448,0,minecraft:nether_wastes
-576,512,0,minecraft:nether_wastes
-576,576,0,minecraft:nether_wastes
-576,640,0,minecraft:nether_wastes
-576,704,0,minecraft:nether_wastes
-576,768,0,minecraft:nether_wastes
-512,-768,0,minecraft:nether_wastes
-512,-704,0,minecraft:nether_wastes
-512,-640,0,minecraft:nether_wastes
-512,-576,0,minecraft:nether_wastes
-512,-512,0,minecraft:nether_wastes
-512,-448,0,minecraft:nether_wastes
-512,-384,0,minecraft:nether_wastes
-512,-320,0,minecraft:nether_wastes
-512,-256,0,minecraft:nether_wastes
-512,-192,0,minecraft:crimson_forest
-512,-128,0,minecraft:crimson_forest
-512,-64,0,minecraft:crimson_forest
-512,0,0,minecraft:nether_wastes
-512,64,0,minecraft:nether_wastes
-512,128,0,minecraft:nether_wastes
-512,192,0,minecraft:nether_wastes
-512,256,0,minecraft:nether_wastes
-512,320,0,minecraft:nether_wastes
-512,384,0,minecraft:nether_wastes
-512,448,0,minecraft:nether_wastes
-512,512,0,minecraft:nether_wastes
-512,576,0,minecraft:nether_wastes
-512,640,0,minecraft:nether_wastes
-512,704,0,minecraft:nether_wastes
-512,768,0,minecraft:nether_wastes
-448,-768,0,minecraft:nether_wastes
-448,-704,0,minecraft:nether_wastes
-448,-640,0,minecraft:nether_wastes
-448,-576,0,minecraft:nether_wastes
-448,-512,0,minecraft:nether_wastes
-448,-448,0,minecraft:nether_wastes
-448,-384,0,minecraft:nether_wastes
-448,-320,0,minecraft:crimson_forest
-448,-256,0,minecraft:crimson_forest
-448,-192,0,minecraft:crimson_forest
-448,-128,0,minecraft:crimson_forest
-448,-64,0,minecraft:crimson_forest
-448,0,0,minecraft:crimson_forest
-448,64,0,minecraft:crimson_forest
-448,128,0,minecraft:nether_wastes
-448,192,0,minecraft:nether_wastes
-448,256,0,minecraft:nether_wastes
-448,320,0,minecraft:nether_wastes
-448,384,0,minecraft:nether_wastes
-448,448,0,minecraft:nether_wastes
-448,512,0,minecraft:nether_wastes
-448,576,0,minecraft:nether_wastes
-448,640,0,minecraft:nether_wastes
-448,704,0,minecraft:nether_wastes
-448,768,0,minecraft:nether_wastes
